Variable,Correlation,Abs_Correlation
Name,0.9991931963868287,0.9991931963868287
Cabin,0.894531780929875,0.894531780929875
CryoSleep,0.2523963443143189,0.2523963443143189
HomePlanet,0.24969120481466828,0.24969120481466828
Transported,0.24461142158527607,0.24461142158527607
Destination,0.07384361440317262,0.07384361440317262
Age,0.06872304411557681,0.06872304411557681
VIP,-0.058784649073146934,0.058784649073146934
ShoppingMall,0.054480320283441734,0.054480320283441734
VRDeck,-0.019581492428894155,0.019581492428894155
